WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure
DEEPWATER-UVG14O,2020-01-01 08:20:00,22.0,3613.3,53.299999,359.39999,244.0,287.80002,,0.30020356,,,
DEEPWATER-RU0CIY,2020-01-01 08:20:00,27.0,3681.8999,55.5,353.39999,226.39999,339.79999,,0.30020356,,,
DEEPWATER-ISTQBO,2020-01-01 08:20:00,31.200001,3944.5999,66.0,258.89999,221.20001,307.39999,457.10001,0.30020356,,,
DEEPWATER-TPS1RK,2020-01-01 08:20:00,45.0,6805.7998,62.900002,1110.7,454.6,653.59998,,0.20013572,,,
DEEPWATER-CEO3A4,2020-01-01 08:20:00,34.5,4064.3,65.5,308.10001,230.7,291.39999,437.20001,0.40027145,,,
DEEPWATER-A5W4QG,2020-01-01 08:20:00,22.700001,3950.3999,54.0,286.60001,228.0,261.0,,0.20013572,,,
DEEPWATER-JCS1GP,2020-01-01 08:20:00,22.5,3945.7,58.0,199.89999,257.20001,303.10001,,0.30020356,,,
DEEPWATER-VKCG0Y,2020-01-01 08:20:31,24.799999,4172.6997,54.0,460.29999,235.39999,279.0,421.5,0.20013572,,,
DEEPWATER-34JETX,2020-01-01 08:21:06,24.799999,0.0,52.5,0.0,32.0,32.0,412.20001,0.0,,,
DEEPWATER-BPUSBG,2020-01-01 08:23:01,62.5,4225.3999,56.0,537.69995,228.0,282.60001,430.29999,0.30020356,,,
DEEPWATER-TXV4MX,2020-01-01 08:23:47,39.0,0.0,55.400002,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-U3TTRI,2020-01-01 08:24:59,16.799999,7181.1998,48.0,739.79998,468.20002,526.20002,382.0,0.40027144,,,
DEEPWATER-DTL53P,2020-01-01 08:25:08,27.799999,4066.0,52.0,325.20001,237.7,277.29999,393.10001,0.20013572,,,
DEEPWATER-1UBHZV,2020-01-01 08:27:35,26.0,4272.8999,52.0,272.19998,255.60001,284.0,479.0,0.50033927,,,
DEEPWATER-453GJ0,2020-01-01 08:29:35,32.099998,0.0,63.0,0.0,32.0,32.0,463.10001,0.0,,,
DEEPWATER-BZZIEL,2020-01-01 08:30:33,,,,,,,461.5,,,,
DEEPWATER-GMAJKI,2020-01-01 08:31:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 08:31:27,21.0,4115.2998,62.0,316.29999,250.90001,277.70001,470.39999000000006,0.30020356,,,
DEEPWATER-4TYG1P,2020-01-01 08:32:05,0.0,,0.0,,,,0.0,,,,
DEEPWATER-GROQ2A,2020-01-01 08:34:06,21.0,4121.5,57.0,532.39996,230.89999,278.39999,447.29999,0.20013572,,,
DEEPWATER-AHJLPP,2020-01-01 08:34:11,29.0,3458.8,60.0,292.79999,244.0,280.39999,,0.30020356,,,
DEEPWATER-IDE13P,2020-01-01 08:34:28,64.699997,3848.8999,55.0,447.09998,228.60001,267.30002,435.60001,0.50033927,,,
DEEPWATER-BZZIEL,2020-01-01 08:34:33,36.0,3995.0,60.0,385.09998,233.39999,285.39999,461.39999000000006,0.20013572,,,
DEEPWATER-LGIE0L,2020-01-01 08:34:54,69.0,3380.1001,57.0,365.20001,235.0,296.80002,446.70001,0.30020356,,,
DEEPWATER-0KPXEZ,2020-01-01 08:34:54,20.6,4009.4998,58.0,241.0,268.0,298.80002,,0.20013572,,,
DEEPWATER-M24OXR,2020-01-01 08:34:54,55.0,3903.7998,55.0,426.0,233.8,273.20001,422.5,0.30020356,,,
DEEPWATER-DTL53P,2020-01-01 08:35:08,28.200001,4065.7,52.0,325.0,237.60001,277.29999,393.39999,0.20013572,,,
DEEPWATER-1WHBG2,2020-01-01 08:35:23,100.8,4691.5996,63.0,1985.7999,226.8,295.20001,,0.40027145,,,
DEEPWATER-MU3BOW,2020-01-01 08:36:11,66.0,,51.0,,,,,,,,
DEEPWATER-BPUSBG,2020-01-01 08:39:01,62.599998,4225.0,0.83999997,537.09998,228.0,282.69998,428.29999,0.40027145,,,
DEEPWATER-UVG14O,2020-01-01 08:40:00,22.0,3609.2,53.299999,359.60001,244.0,288.0,,0.30020356,,,
DEEPWATER-RU0CIY,2020-01-01 08:40:00,28.0,3682.3999,55.400002,353.29999,226.39999,339.79999,,0.30020356,,,
DEEPWATER-TPS1RK,2020-01-01 08:40:00,45.0,6800.1998,62.900002,1110.2999,454.6,653.59998,,0.20013572,,,
DEEPWATER-ISTQBO,2020-01-01 08:40:00,31.200001,3942.8999,66.0,258.69998,221.20001,307.0,456.89999000000006,0.30020356,,,
DEEPWATER-A5W4QG,2020-01-01 08:40:00,22.700001,3948.3999,54.0,286.60001,228.0,261.10001,,0.20013572,,,
DEEPWATER-JCS1GP,2020-01-01 08:40:00,23.299999,3951.8999,58.900002,199.79999,256.79999,303.10001,,0.40027145,,,
DEEPWATER-CEO3A4,2020-01-01 08:40:00,34.5,4068.1997,65.5,308.29999,230.7,291.39999,437.20001,0.50033927,,,
DEEPWATER-VKCG0Y,2020-01-01 08:40:31,24.9,4173.0,54.0,460.29999,235.39999,279.0,424.60001,0.20013572,,,
DEEPWATER-34JETX,2020-01-01 08:41:06,24.6,0.0,52.5,0.0,32.0,32.0,411.89999,0.0,,,
DEEPWATER-BPUSBG,2020-01-01 08:42:01,62.5,4224.8999,56.0,536.5,,,432.39999000000006,,,,
DEEPWATER-BPUSBG,2020-01-01 08:43:01,62.599998,4225.0996,56.0,536.5,228.0,282.69998,429.89999000000006,0.40027145,,,
DEEPWATER-TXV4MX,2020-01-01 08:43:47,39.0,0.0,55.400002,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-EU2FJA,2020-01-01 08:43:50,50.700001,3905.8997,56.5,805.7999900000001,230.89999,283.10001,467.29999,1.1007465,,,
DEEPWATER-DTL53P,2020-01-01 08:45:08,27.9,4068.3999,52.0,324.89996,237.60001,277.20001,394.89999,0.20013572,,,
DEEPWATER-XX0DST,2020-01-01 08:47:03,21.700001,3759.3,62.200001,200.90001,253.39999,291.89999,415.10001,0.20013572,,,
DEEPWATER-1UBHZV,2020-01-01 08:47:35,26.0,4273.1997,52.0,271.39999,255.60001,284.5,480.89999000000006,0.50033927,,,
DEEPWATER-BZZIEL,2020-01-01 08:49:33,36.099998,3983.7998,,382.99997,233.39999,285.39999,462.70001,0.20013572,,,
DEEPWATER-453GJ0,2020-01-01 08:49:35,31.9,0.0,63.0,0.0,32.0,32.0,465.0,0.0,,,
DEEPWATER-BZZIEL,2020-01-01 08:50:33,36.0,3983.3997,60.0,382.69998,233.39999,285.39999,463.0,0.20013572,,,
DEEPWATER-GMAJKI,2020-01-01 08:51:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 08:51:27,20.9,4116.1001,62.0,317.09998,251.10001,277.70001,471.5,0.40027145,,,
DEEPWATER-4TYG1P,2020-01-01 08:52:05,0.0,4150.7002,0.0,4152.5,222.8,223.7,0.0,0.10006786,,,
DEEPWATER-GROQ2A,2020-01-01 08:54:06,21.0,4119.8999,57.0,533.39996,230.89999,278.39999,446.20001,0.20013572,,,
DEEPWATER-AHJLPP,2020-01-01 08:54:11,29.0,3466.3999,59.900002,292.69998,244.0,280.39999,,0.30020356,,,
DEEPWATER-IDE13P,2020-01-01 08:54:28,64.900002,3845.5999,55.0,447.09998,228.60001,267.10001,435.20001,0.40027145,,,
DEEPWATER-0KPXEZ,2020-01-01 08:54:54,20.700001,4009.2998,58.0,239.79999,268.0,298.80002,,0.20013572,,,
DEEPWATER-LGIE0L,2020-01-01 08:54:54,68.800003,3379.8,57.0,362.89999,235.0,296.60001,447.29999,0.20013572,,,
DEEPWATER-M24OXR,2020-01-01 08:54:54,54.599998,3846.7,55.0,426.0,233.8,273.20001,421.29999,0.30020356,,,
DEEPWATER-DTL53P,2020-01-01 08:55:08,28.4,,52.0,,,,395.20001,,,,
DEEPWATER-1WHBG2,2020-01-01 08:55:23,101.1,4692.1997,63.0,1985.7999,226.8,295.20001,,0.50033927,,,
DEEPWATER-MU3BOW,2020-01-01 08:56:11,65.800003,3736.3999,51.0,726.2999900000001,215.60001,282.0,,0.30020356,,,
DEEPWATER-UVG14O,2020-01-01 09:00:00,22.0,3610.3999,53.299999,359.70001,244.0,288.0,,0.30020356,,,
DEEPWATER-ISTQBO,2020-01-01 09:00:00,31.200001,3945.5999,66.0,258.79999,221.20001,307.0,456.89999000000006,0.30020356,,,
DEEPWATER-TPS1RK,2020-01-01 09:00:00,45.0,6799.7998,62.799999,1110.0,454.6,654.0,,0.20013572,,,
DEEPWATER-CEO3A4,2020-01-01 09:00:00,34.5,4062.7,65.5,308.19998,230.7,291.60001,437.20001,0.50033927,,,
DEEPWATER-A5W4QG,2020-01-01 09:00:00,22.700001,3948.4998,54.0,286.60001,228.0,261.10001,,0.30020356,,,
DEEPWATER-RU0CIY,2020-01-01 09:00:00,28.0,3682.1001,55.5,353.39999,226.39999,339.60001,,0.20013572,,,
DEEPWATER-VKCG0Y,2020-01-01 09:00:31,24.799999,4173.2998,54.0,460.09998,235.39999,279.0,422.39999000000006,0.20013572,,,
DEEPWATER-BPUSBG,2020-01-01 09:03:01,62.700001,4225.3999,56.0,535.2999900000001,228.0,282.89999,429.0,0.30020356,,,
DEEPWATER-TXV4MX,2020-01-01 09:03:47,39.0,0.0,55.5,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-EU2FJA,2020-01-01 09:03:50,50.700001,3905.2998,56.5,805.90002,230.89999,283.10001,470.0,1.1007465,,,
DEEPWATER-DTL53P,2020-01-01 09:05:08,27.9,4065.0999,52.0,325.10001,237.7,277.20001,395.29999,0.20013572,,,
DEEPWATER-XX0DST,2020-01-01 09:07:03,20.4,,61.5,199.19998,253.39999,292.30002,414.5,0.20013572,,,
DEEPWATER-1UBHZV,2020-01-01 09:07:35,25.700001,4279.2002,52.0,271.20001,255.60001,284.5,479.10001,0.50033927,,,
DEEPWATER-453GJ0,2020-01-01 09:09:35,31.6,0.0,63.0,0.0,32.0,32.0,463.70001,0.0,,,
DEEPWATER-BZZIEL,2020-01-01 09:10:33,35.900002,3990.6997,60.0,378.39999,233.39999,285.39999,460.79999,0.10006786,,,
DEEPWATER-GMAJKI,2020-01-01 09:11:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 09:11:27,21.0,4116.3999,62.0,317.19998,250.90001,277.70001,468.0,0.20013572,,,
DEEPWATER-4TYG1P,2020-01-01 09:12:05,0.0,4150.6001,0.0,4152.2998,222.8,223.7,0.0,0.10006786,,,
DEEPWATER-GROQ2A,2020-01-01 09:14:06,20.9,4120.1997,57.0,534.09998,230.89999,278.60001,448.0,0.30020356,,,
DEEPWATER-AHJLPP,2020-01-01 09:14:11,28.0,3465.1001,60.0,292.69998,244.0,280.39999,,0.30020356,,,
DEEPWATER-IDE13P,2020-01-01 09:14:28,65.199997,3825.7998,55.0,446.89999000000006,228.60001,267.30002,437.29999,0.50033927,,,
DEEPWATER-LGIE0L,2020-01-01 09:14:54,69.099998,3378.2998,57.0,362.19998,234.89999,296.80002,445.39999000000006,0.20013572,,,
DEEPWATER-M24OXR,2020-01-01 09:14:54,54.599998,3847.3999,55.0,426.29999,233.8,273.39999,422.20001,0.30020356,,,
DEEPWATER-0KPXEZ,2020-01-01 09:14:54,20.700001,4008.0999,58.0,241.0,268.0,298.60001,,0.30020356,,,
DEEPWATER-DTL53P,2020-01-01 09:15:08,28.0,4069.2998,52.0,324.69998,237.60001,277.29999,392.79999,0.20013572,,,
DEEPWATER-1WHBG2,2020-01-01 09:15:23,101.0,4692.5996,63.0,1985.7999,226.8,295.20001,,0.50033927,,,
DEEPWATER-MU3BOW,2020-01-01 09:16:11,66.099998,,51.0,,,,,,,,
DEEPWATER-CEO3A4,2020-01-01 09:20:00,34.5,4059.2,65.5,308.29999,230.7,291.39999,437.20001,0.50033927,,,
DEEPWATER-RU0CIY,2020-01-01 09:20:00,28.0,3682.2,55.400002,353.60001,226.39999,339.79999,,0.20013572,,,
DEEPWATER-TPS1RK,2020-01-01 09:20:00,45.0,6802.4,62.900002,1110.2,454.19998,653.59998,,0.20013572,,,
DEEPWATER-JCS1GP,2020-01-01 09:20:00,22.9,3951.5999,58.5,199.69998,257.0,303.39999,,0.30020356,,,
DEEPWATER-A5W4QG,2020-01-01 09:20:00,22.700001,3948.2998,54.0,286.69998,228.2,261.10001,,0.30020356,,,
DEEPWATER-UVG14O,2020-01-01 09:20:00,22.0,3611.9998,53.299999,359.79999,243.89999,287.80002,,0.30020356,,,
DEEPWATER-ISTQBO,2020-01-01 09:20:00,31.299999,3941.2,66.0,258.79999,221.20001,307.19998,457.70001,0.30020356,,,
DEEPWATER-VKCG0Y,2020-01-01 09:20:31,24.9,4173.5996,54.0,460.20001,235.39999,279.0,421.79999,0.20013572,,,
DEEPWATER-34JETX,2020-01-01 09:21:06,24.799999,0.0,52.5,0.0,32.0,32.0,412.20001,0.0,,,
DEEPWATER-BPUSBG,2020-01-01 09:23:01,62.599998,4225.0,56.0,535.2999900000001,228.0,282.69998,430.29999,0.30020356,,,
DEEPWATER-TXV4MX,2020-01-01 09:23:47,39.0,0.0,55.400002,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-EU2FJA,2020-01-01 09:23:50,50.599998,3907.1001,56.5,806.0,230.89999,283.10001,469.0,1.1007465,,,
DEEPWATER-DTL53P,2020-01-01 09:25:08,28.4,4067.0999,52.0,324.69998,237.60001,277.5,394.89999,0.20013572,,,
DEEPWATER-XX0DST,2020-01-01 09:27:03,23.200001,3775.6997,62.5,199.79999,253.2,291.69998,421.39999000000006,0.20013572,,,
DEEPWATER-1UBHZV,2020-01-01 09:27:35,25.799999,4277.9995,52.0,272.39999,255.60001,284.0,481.0,0.50033927,,,
DEEPWATER-453GJ0,2020-01-01 09:29:35,31.5,0.0,63.0,0.0,32.0,32.0,461.89999000000006,0.0,,,
DEEPWATER-GMAJKI,2020-01-01 09:31:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 09:31:27,21.200001,4104.2998,62.0,316.09998,250.90001,277.70001,470.20001,0.30020356,,,
DEEPWATER-4TYG1P,2020-01-01 09:32:05,0.0,4150.7002,0.0,4152.3999,222.8,223.7,0.0,0.10006786,,,
DEEPWATER-GROQ2A,2020-01-01 09:34:06,20.5,4101.3999,57.0,532.2999900000001,230.89999,278.80002,446.60001,0.20013572,,,
DEEPWATER-AHJLPP,2020-01-01 09:34:11,29.0,3467.5,59.900002,292.59998,244.0,280.39999,,0.20013572,,,
DEEPWATER-IDE13P,2020-01-01 09:34:28,65.0,3827.0999,55.0,447.09998,228.60001,267.10001,438.39999000000006,0.40027145,,,
DEEPWATER-0KPXEZ,2020-01-01 09:34:54,20.700001,4003.7,58.0,239.39999,268.0,298.60001,,0.20013572,,,
DEEPWATER-LGIE0L,2020-01-01 09:34:54,68.800003,3378.4998,57.0,361.10001,235.0,296.60001,447.60001,0.20013572,,,
DEEPWATER-M24OXR,2020-01-01 09:34:54,55.099998,3903.9998,55.0,426.09998,233.8,273.39999,423.70001,0.30020356,,,
DEEPWATER-DTL53P,2020-01-01 09:35:08,28.200001,,52.0,,,,392.60001,,,,
DEEPWATER-1WHBG2,2020-01-01 09:35:23,101.0,4692.2998,63.0,1985.8999,226.8,295.29999,,0.50033927,,,
DEEPWATER-MU3BOW,2020-01-01 09:36:11,66.5,3735.3,51.0,727.59998,215.60001,281.5,,0.30020356,,,
DEEPWATER-JCS1GP,2020-01-01 09:40:00,23.1,3944.5,58.700001,200.2,257.0,303.10001,,0.30020356,,,
DEEPWATER-TPS1RK,2020-01-01 09:40:00,45.0,6801.5996,62.900002,1110.2999,454.6,654.0,,0.10006786,,,
DEEPWATER-CEO3A4,2020-01-01 09:40:00,34.5,4077.8999,65.5,308.49997,230.7,291.60001,437.20001,0.40027145,,,
DEEPWATER-UVG14O,2020-01-01 09:40:00,22.0,3612.6001,53.200001,360.10001,243.89999,288.0,,0.20013572,,,
DEEPWATER-ISTQBO,2020-01-01 09:40:00,31.299999,3941.0,66.0,259.0,221.20001,307.60001,458.20001,0.30020356,,,
DEEPWATER-A5W4QG,2020-01-01 09:40:00,22.700001,3951.2,54.0,286.60001,228.2,261.10001,,0.20013572,,,
DEEPWATER-RU0CIY,2020-01-01 09:40:00,28.0,3681.5,55.5,353.39999,226.39999,339.39999,,0.20013572,,,
DEEPWATER-VKCG0Y,2020-01-01 09:40:31,24.9,4174.3999,54.0,460.20001,235.39999,279.0,423.5,0.20013572,,,
DEEPWATER-34JETX,2020-01-01 09:41:06,24.799999,0.0,52.5,0.0,32.0,32.0,413.20001,0.0,,,
DEEPWATER-TXV4MX,2020-01-01 09:43:47,39.0,0.0,55.400002,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-EU2FJA,2020-01-01 09:43:50,50.599998,3903.0999,56.5,806.0,230.89999,283.30002,469.29999,1.1007465,,,
DEEPWATER-U3TTRI,2020-01-01 09:44:59,16.799999,,,,,,,,,,
DEEPWATER-DTL53P,2020-01-01 09:45:08,27.6,4065.8999,52.0,324.5,237.7,277.29999,393.39999,0.30020356,,,
DEEPWATER-XX0DST,2020-01-01 09:47:03,23.1,3765.8999,62.400002,201.09999,253.39999,291.89999,418.60001,0.20013572,,,
DEEPWATER-1UBHZV,2020-01-01 09:47:35,25.700001,4277.0,52.0,271.5,255.60001,284.5,478.29999,0.50033927,,,
DEEPWATER-453GJ0,2020-01-01 09:49:35,31.4,0.0,63.0,0.0,32.0,32.0,462.60001,0.0,,,
DEEPWATER-BZZIEL,2020-01-01 09:50:33,36.299999,3968.6001,60.0,367.69998,233.2,285.10001,460.5,0.20013572,,,
DEEPWATER-GMAJKI,2020-01-01 09:51:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 09:51:27,21.0,4118.7998,62.0,315.09998,251.10001,277.89999,469.39999000000006,0.30020356,,,
DEEPWATER-4TYG1P,2020-01-01 09:52:05,0.0,4150.7002,0.0,4152.5,222.8,223.7,0.0,0.10006786,,,
DEEPWATER-GROQ2A,2020-01-01 09:54:06,21.1,4114.0,57.0,532.0,230.89999,278.19998,447.0,0.30020356,,,
DEEPWATER-AHJLPP,2020-01-01 09:54:11,28.0,3461.5,59.900002,293.10001,244.0,280.39999,,0.20013572,,,
DEEPWATER-IDE13P,2020-01-01 09:54:28,65.0,3842.7,55.0,447.20001,228.60001,267.10001,433.29999,0.40027145,,,
DEEPWATER-M24OXR,2020-01-01 09:54:54,54.5,3833.2,55.0,426.0,233.8,273.20001,422.20001,0.20013572,,,
DEEPWATER-LGIE0L,2020-01-01 09:54:54,68.900002,3380.2,57.0,362.29999,235.0,296.60001,448.5,0.20013572,,,
DEEPWATER-0KPXEZ,2020-01-01 09:54:54,20.799999,3998.7,58.0,240.59999,268.0,298.80002,,0.20013572,,,
DEEPWATER-DTL53P,2020-01-01 09:55:08,28.0,,52.0,,,,393.79999,,,,
DEEPWATER-1WHBG2,2020-01-01 09:55:23,100.8,4693.7002,63.0,1985.9999,226.8,295.20001,,0.50033927,,,
DEEPWATER-MU3BOW,2020-01-01 09:56:11,66.300003,3726.5,51.0,727.0,215.8,281.79999,,0.30020356,,,
DEEPWATER-CEO3A4,2020-01-01 10:00:00,34.5,4058.3999,65.5,308.0,230.7,291.39999,437.20001,0.50033927,,,
DEEPWATER-RU0CIY,2020-01-01 10:00:00,28.0,3680.3999,55.5,353.5,226.39999,339.60001,,0.30020356,,,
DEEPWATER-ISTQBO,2020-01-01 10:00:00,31.299999,3946.9998,66.0,259.0,221.39999,307.39999,457.70001,0.20013572,,,
DEEPWATER-UVG14O,2020-01-01 10:00:00,22.0,3613.3,53.299999,360.19998,243.89999,288.0,,0.30020356,,,
DEEPWATER-A5W4QG,2020-01-01 10:00:00,22.700001,3950.8999,54.0,286.60001,228.2,261.10001,,0.20013572,,,
DEEPWATER-JCS1GP,2020-01-01 10:00:00,22.299999,3938.3999,57.5,199.69998,256.79999,303.30002,,0.30020356,,,
DEEPWATER-TPS1RK,2020-01-01 10:00:00,45.0,6802.0,62.900002,1110.2999,454.6,654.0,,0.10006786,,,
DEEPWATER-VKCG0Y,2020-01-01 10:00:31,24.799999,4172.2998,54.0,460.20001,235.39999,279.09998,421.70001,0.20013572,,,
DEEPWATER-34JETX,2020-01-01 10:01:06,24.6,0.0,52.5,0.0,32.0,32.0,411.89999,0.0,,,
DEEPWATER-BPUSBG,2020-01-01 10:03:01,62.700001,4225.5,56.0,536.39996,228.0,282.89999,428.29999,0.30020356,,,
DEEPWATER-1UBHZV,2020-01-01 10:03:35,25.9,4282.6997,52.0,271.69998,255.7,284.40002000000004,477.89999000000006,0.50033927,,,
DEEPWATER-TXV4MX,2020-01-01 10:03:47,39.0,0.0,55.400002,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-EU2FJA,2020-01-01 10:03:50,50.700001,3904.4998,56.5,805.7999900000001,230.89999,283.5,468.89999000000006,1.1007465,,,
DEEPWATER-BZZIEL,2020-01-01 10:04:33,36.200001,3987.7,,364.59998,233.2,285.30002,457.5,0.20013572,,,
DEEPWATER-U3TTRI,2020-01-01 10:04:59,16.799999,7200.1998,48.0,743.40002,468.0,524.79998,,0.40027144,,,
DEEPWATER-DTL53P,2020-01-01 10:05:08,28.299999,4069.8997,52.0,324.69998,237.60001,277.20001,395.60001,0.30020356,,,
DEEPWATER-1UBHZV,2020-01-01 10:06:35,25.799999,4272.0,52.0,271.5,,284.40002000000004,478.89999000000006,,,,
DEEPWATER-XX0DST,2020-01-01 10:07:03,20.4,3760.3,61.5,,253.39999,292.10001,415.10001,0.30020356,,,
DEEPWATER-BZZIEL,2020-01-01 10:07:33,36.0,3998.7998,60.0,365.39999,,,458.89999000000006,,,,
DEEPWATER-1UBHZV,2020-01-01 10:07:35,25.799999,4278.1997,52.0,271.59998,255.7,284.20001,477.39999000000006,0.50033927,,,
DEEPWATER-453GJ0,2020-01-01 10:09:35,31.6,0.0,63.0,0.0,32.0,32.0,463.39999000000006,0.0,,,
DEEPWATER-BZZIEL,2020-01-01 10:10:33,36.099998,4007.2,60.0,366.29999,233.2,285.30002,459.10001,0.20013572,,,
DEEPWATER-GMAJKI,2020-01-01 10:11:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 10:11:27,20.799999,4116.0,62.0,314.69998,251.10001,277.70001,468.89999000000006,0.30020356,,,
DEEPWATER-4TYG1P,2020-01-01 10:12:05,0.0,4150.7002,0.0,4152.3999,222.8,223.7,0.0,0.10006786,,,
DEEPWATER-GROQ2A,2020-01-01 10:14:06,20.9,4119.1001,57.0,532.39996,230.89999,278.19998,447.10001,0.20013572,,,
DEEPWATER-AHJLPP,2020-01-01 10:14:11,29.0,3450.7,60.0,293.10001,244.0,280.60001,,0.30020356,,,
DEEPWATER-IDE13P,2020-01-01 10:14:28,65.199997,3846.5,55.0,447.29999,228.60001,267.30002,437.39999000000006,0.50033927,,,
DEEPWATER-M24OXR,2020-01-01 10:14:54,55.200001,3926.7,55.0,426.29999,233.8,273.20001,419.29999,0.30020356,,,
DEEPWATER-LGIE0L,2020-01-01 10:14:54,68.900002,3378.7,57.0,362.10001,235.0,296.60001,446.79999,0.30020356,,,
DEEPWATER-0KPXEZ,2020-01-01 10:14:54,20.700001,3995.0999,58.0,241.0,268.0,298.39999,,0.20013572,,,
DEEPWATER-DTL53P,2020-01-01 10:15:08,28.0,4066.0999,52.0,324.59998,237.60001,277.20001,394.10001,0.30020356,,,
DEEPWATER-1WHBG2,2020-01-01 10:15:23,101.1,4693.1997,63.0,1985.9999,226.8,295.20001,,0.50033927,,,
DEEPWATER-MU3BOW,2020-01-01 10:16:11,66.400002,,51.0,,,,,,,,
DEEPWATER-RU0CIY,2020-01-01 10:20:00,28.0,3682.6001,55.400002,353.5,226.39999,339.60001,,0.30020356,,,
DEEPWATER-ISTQBO,2020-01-01 10:20:00,31.299999,3944.7,66.0,258.89999,221.20001,307.0,455.60001,0.30020356,,,
DEEPWATER-A5W4QG,2020-01-01 10:20:00,22.799999,3947.4998,54.0,286.69998,228.2,261.10001,,0.20013572,,,
DEEPWATER-UVG14O,2020-01-01 10:20:00,22.0,3613.2,53.299999,360.39999,243.89999,288.0,,0.30020356,,,
