WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure,Estado,Estado_detallado
DEEPWATER-ROJ53V,2020-01-01 09:04:46,,3798.8999,48.5,234.09999,220.5,244.39999,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 09:05:03,,3757.0999,52.900002,319.39999,243.70001,304.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 09:08:45,,3669.9998,59.5,388.10001,233.60001,256.10001,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-51ZYBC,2020-01-01 09:17:04,,3795.5,64.099998,1112.7999,222.39999,331.0,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 09:17:53,,3953.8999,54.900002,309.29999,248.0,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 09:22:47,,3739.3999,55.0,1075.6,225.0,318.89999,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 09:24:46,,3784.6997,48.5,224.49998,220.3,247.5,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 09:25:03,,3757.1997,53.0,319.39999,243.70001,304.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 09:28:45,,3673.5,59.5,383.29999,233.8,256.10001,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-000XAR,2020-01-01 09:42:47,,3728.7998,55.0,1076.3,225.0,318.39999,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 09:44:46,,3772.5999,48.099998,220.5,220.3,253.60001,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 09:45:03,,3752.2,53.0,319.39999,243.70001,304.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 09:48:45,,3654.6997,59.5,375.59998,233.8,255.89999,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-MECD2B,2020-01-01 09:56:53,,3955.0999,54.900002,309.39999,248.0,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 09:57:04,,3795.6001,64.0,1112.9,222.39999,331.20001,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 10:02:47,,3724.2998,54.900002,1074.7999,225.0,318.39999,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 10:04:46,,3792.8999,48.5,237.2,220.5,244.60001,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 10:05:03,,3754.8999,52.900002,319.49997,243.70001,305.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 10:08:45,,3682.2,59.5,369.69998,233.60001,256.5,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-51ZYBC,2020-01-01 10:17:04,,3795.5,64.099998,1112.9,222.39999,331.20001,,0.30020356,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 10:17:53,,3953.5999,54.900002,309.59998,248.0,284.69998,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 10:22:47,,3731.0999,54.900002,1075.1,225.0,318.60001,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 10:24:46,,3785.5,48.5,224.7,220.3,248.0,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 10:25:03,,3756.9998,53.0,319.39999,243.5,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 10:28:45,,3678.2,59.5,368.5,233.8,255.60001,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-51ZYBC,2020-01-01 10:37:04,,3796.2,64.099998,1113.0,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 10:42:47,,3724.1997,55.0,1074.7999,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 10:44:46,,3783.4998,48.400002,222.2,220.3,254.8,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 10:45:03,,3755.5999,53.0,319.39999,243.70001,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 10:48:45,,3693.8999,59.5,367.60001,233.60001,256.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 10:56:53,,3955.0999,55.0,309.79999,247.79999,284.5,,0.10006786,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 10:57:04,,3796.0999,64.099998,1113.0,222.39999,331.29999,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 11:01:46,,3788.0999,48.5,240.09999,220.5,244.0,,0.10006786,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 11:02:47,,3729.8999,55.0,1075.0,225.0,318.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 11:04:46,,3786.2,48.400002,237.8,220.5,243.70001,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 11:05:03,,3752.3,52.900002,319.39999,243.70001,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 11:08:45,,,59.5,,,,,,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 11:17:04,,3795.8,64.099998,1113.1,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 11:17:53,,3955.2,54.900002,310.0,248.0,284.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 11:22:47,,3723.6997,55.0,1075.0,225.0,318.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 11:24:46,,3782.8999,48.400002,222.39999,220.10001,250.0,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 11:25:03,,3755.4998,52.900002,319.39999,243.70001,305.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 11:28:45,,3692.5999,59.5,368.19998,233.8,255.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 11:37:04,,3796.0999,64.099998,1112.7999,222.39999,331.20001,,0.30020356,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 11:38:53,,3955.2998,54.900002,310.0,247.79999,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 11:45:03,,3757.0999,52.900002,319.19998,243.70001,304.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 11:48:45,,3689.2998,59.5,369.19998,233.60001,255.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 11:56:53,,3964.2998,54.900002,310.10001,248.0,284.40002000000004,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 11:57:04,,3796.0999,64.099998,1112.7999,222.39999,331.20001,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 12:02:47,,3738.2,55.0,1076.7,225.0,318.60001,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 12:04:46,,3787.8999,48.5,235.29999,220.5,243.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 12:05:03,,3752.3,52.900002,319.09998,243.70001,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 12:08:45,,3676.5999,59.5,370.5,233.8,255.40001,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-51ZYBC,2020-01-01 12:17:04,,3795.6001,64.099998,1112.9,222.39999,331.20001,,0.30020356,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 12:17:53,,3968.3,54.900002,310.20001,248.0,284.20001,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 12:22:47,,3723.8997,55.0,1075.2999,225.0,318.69998,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 12:24:46,,3780.3999,48.299999,218.89999,220.10001,252.0,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 12:25:03,,3754.7,52.900002,319.09998,243.89999,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 12:28:45,,3691.8,,371.19998,233.60001,256.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 12:37:04,,3796.0999,64.099998,1112.9,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 12:38:53,,3968.2,55.0,310.79999,247.79999,283.79999,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 12:42:47,,3735.0,54.900002,1075.3999,225.0,318.60001,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 12:44:46,,3782.5999,48.400002,220.2,220.3,252.70001,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 12:45:03,,3756.8999,52.900002,319.09998,243.70001,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 12:48:45,,,59.5,,,,,,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 12:58:53,,3970.2,54.900002,311.20001,247.79999,284.0,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 13:02:47,,3725.7,55.0,1075.7,225.0,318.60001,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 13:04:46,,3788.7,48.400002,232.3,220.3,244.0,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 13:05:03,,3752.8,53.0,319.29999,243.70001,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 13:08:45,,3694.5,59.5,373.09998,233.8,255.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 13:16:46,,3783.9998,48.5,224.2,220.10001,250.0,,0.10006786,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 13:17:04,,3795.5,64.099998,1112.7,222.39999,331.20001,,0.20013572,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 13:17:53,,3972.3999,54.900002,311.79999,247.79999,283.79999,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 13:19:46,,3783.1997,48.400002,221.29999,,250.5,,,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 13:22:47,,3731.6997,55.0,1074.9,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 13:24:46,,3784.4998,48.400002,224.3,220.10001,253.39999,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 13:25:03,,3752.8999,52.900002,319.39999,243.70001,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 13:28:45,,3697.8999,59.5,374.10001,233.8,256.30002,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 13:44:46,,3782.9998,48.5,223.60001,220.5,249.8,,0.10006786,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 13:48:45,,3689.1997,59.5,375.29999,234.0,255.60001,,0.10006786,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 13:56:53,,3970.2998,54.900002,312.59998,247.60001,284.0,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 13:57:04,,3796.7,64.099998,1112.9,222.39999,331.29999,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 14:02:47,,3720.0999,54.900002,1074.7999,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 14:04:46,,3784.0999,48.5,228.99998,220.3,245.8,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 14:05:03,,3757.2998,53.0,319.29999,243.89999,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 14:17:04,,3796.8999,64.099998,1112.9,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 14:22:47,,3730.4998,54.900002,1075.0,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 14:24:46,,3781.4998,48.400002,222.29999,220.3,253.2,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 14:25:03,,3752.2,53.0,319.29999,243.89999,305.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 14:37:04,,3795.6001,64.099998,1112.7999,222.39999,331.0,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 14:42:47,,3724.5999,54.900002,1075.6,225.0,318.69998,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 14:44:46,,3794.8999,48.400002,234.59999,220.5,244.8,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 14:45:03,,3755.0,52.900002,319.29999,243.89999,305.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 14:48:45,,3666.8999,59.5,375.89999,234.70001,256.5,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-51ZYBC,2020-01-01 14:57:04,,3796.8,64.099998,1113.0,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 14:58:53,,3962.3999,55.0,313.60001,247.79999,284.40002000000004,,0.10006786,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 15:02:47,,3724.5999,54.900002,1074.7,225.0,318.89999,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 15:04:46,,3781.7,48.400002,225.59999,220.3,248.0,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 15:05:03,,3756.7998,52.900002,319.19998,243.89999,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 15:08:45,,3683.7,59.5,375.79996,234.10001,256.5,,0.10006786,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 15:17:53,,3957.3997,54.900002,313.5,247.79999,284.40002000000004,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 15:24:46,,3779.8999,48.400002,222.2,220.3,254.8,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 15:25:03,,3751.5,52.900002,319.19998,243.89999,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 15:28:45,,3683.8999,59.5,375.69998,234.0,255.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 15:37:04,,3796.3999,64.0,1113.0,222.39999,331.29999,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 15:38:53,,3956.3999,54.900002,313.39999,248.0,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 15:42:47,,3737.5,55.0,1075.7999,225.0,318.60001,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 15:43:46,,3786.5,48.5,240.09999,220.5,243.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 15:44:46,,3785.1997,48.5,239.69998,220.5,243.5,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 15:48:45,,3694.8999,59.5,375.19998,233.8,256.30002,,0.20013572,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 15:56:53,,3954.2,54.900002,313.29999,247.79999,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 15:57:04,,3796.0,64.099998,1112.9,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 16:02:47,,3724.1997,55.0,1075.6,225.0,318.89999,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 16:04:46,,3780.5,48.400002,224.09999,220.10001,249.39999,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 16:05:03,,3756.5999,52.900002,319.39999,243.89999,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 16:08:45,,3700.6001,59.5,375.89999,233.8,255.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 16:17:04,,3796.0999,64.0,1112.9,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 16:22:47,,3728.0,54.900002,1075.0,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 16:24:46,,3779.3,48.400002,221.59999,220.3,256.10001,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 16:25:03,,3757.4998,52.900002,319.39999,243.89999,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 16:28:45,,,59.5,,,,,,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 16:37:04,,3795.8999,64.0,1112.7999,222.39999,331.0,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 16:38:53,,3954.5999,54.900002,313.10001,247.60001,284.40002000000004,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 16:42:47,,3729.0,55.0,1075.6,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 16:44:46,,3783.0999,48.5,235.0,220.3,243.70001,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 16:45:03,,3751.7,52.900002,319.39999,243.89999,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 16:57:04,,3796.8,64.0,1112.6,222.39999,330.79999,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 17:02:47,,3723.7998,54.900002,1074.7,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 17:04:46,,3772.5999,48.200001,220.29999,220.10001,250.7,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 17:05:03,,3751.7,53.0,319.29999,243.89999,304.89999,,0.40027145,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 17:08:45,,3690.7,59.5,379.79999,233.8,255.60001,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 17:17:04,,3796.0,64.0,1112.3999,222.39999,330.30002,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 17:17:53,,3953.2,54.900002,312.89999,247.79999,284.40002000000004,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 17:24:46,,3774.8999,48.400002,220.79999,220.3,254.3,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 17:25:03,,3754.0,52.900002,319.29999,243.89999,304.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 17:37:04,,3794.3999,64.0,1112.3999,222.39999,330.60001,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 17:38:53,,3954.4998,55.0,312.59998,248.0,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 17:42:47,,3723.1997,54.900002,1075.2999,225.0,318.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 17:44:46,,3783.8999,48.400002,232.39999,220.3,243.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 17:45:03,,3756.4998,52.900002,319.29999,243.89999,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 17:48:45,,3695.0999,59.5,381.19998,233.8,255.7,,0.20013572,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 17:56:53,,3954.2998,55.0,312.5,248.0,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 17:57:04,,3794.7,64.099998,1112.3999,222.39999,330.39999,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 18:02:47,,3729.0,55.0,1074.9,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 18:04:46,,3779.8999,48.5,223.7,220.10001,252.70001,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 18:05:03,,3756.7998,52.900002,319.49997,243.89999,304.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 18:08:45,,3698.0999,59.5,381.39999,233.60001,256.30002,,0.30020356,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 18:17:04,,3794.5,64.0,1112.3999,222.39999,330.79999,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 18:17:53,,3953.5999,55.0,312.39999,248.0,284.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 18:22:47,,3727.7,54.900002,1075.2,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 18:24:46,,3779.7,48.5,228.5,220.5,247.5,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 18:25:03,,3752.1001,53.0,319.49997,243.89999,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 18:28:45,,3695.8999,59.5,381.89999,233.8,256.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 18:37:04,,3792.9998,64.0,1112.2,222.39999,330.60001,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 18:42:47,,3723.5999,54.900002,1074.7999,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 18:44:46,,3781.8999,48.400002,224.7,220.3,246.89999,,0.0,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 18:45:03,,3752.3,53.0,319.49997,243.89999,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 18:56:53,,3954.7998,54.900002,312.20001,247.79999,284.40002000000004,,0.30020356,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 18:57:04,,3793.1997,64.099998,1112.3999,222.39999,330.39999,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 19:02:47,,3728.7998,54.900002,1074.6,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 19:04:46,,3781.5999,48.400002,221.0,220.10001,255.0,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 19:05:03,,3755.2998,52.900002,319.49997,243.89999,305.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 19:08:45,,3702.0999,59.5,383.60001,233.8,256.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 19:17:04,,3792.6997,64.099998,1112.1,222.39999,330.30002,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 19:17:53,,3952.3,54.900002,311.99997,248.0,284.40002000000004,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 19:22:47,,3731.7998,55.0,1075.1,225.0,318.69998,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 19:24:46,,3788.7,48.400002,238.2,220.5,244.2,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 19:25:03,,3756.7,52.900002,319.29999,243.89999,305.10001,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 19:25:46,,3786.2,48.5,240.5,,244.0,,0.10006786,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 19:28:45,,3702.5999,59.5,384.09998,233.8,255.7,,0.10006786,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 19:28:46,,3785.0999,48.5,238.69998,220.5,243.29999,,0.10006786,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 19:37:04,,3793.4998,64.0,1112.2999,222.39999,330.39999,,0.30020356,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 19:38:53,,3950.5,55.0,311.89996,248.0,284.20001,,0.30020356,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 19:42:47,,3730.3999,55.0,1075.7999,225.0,318.39999,,0.20013572,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 19:44:46,,3780.7998,48.400002,225.19998,220.3,248.5,,0.20013572,,,,Operativo,Otro
